time,temperature_2m,relativehumidity_2m
2023-01-04 0:00,22.7,63
2023-01-04 1:00,23.4,63
2023-01-04 2:00,24.8,57
2023-01-04 3:00,26,54
2023-01-04 4:00,27.2,51
2023-01-04 5:00,28.6,49
2023-01-04 6:00,29.7,47
2023-01-04 7:00,30.2,48
2023-01-04 8:00,30.6,46
2023-01-04 9:00,30.8,45
2023-01-04 10:00,30.5,46
2023-01-04 11:00,29,51
2023-01-04 12:00,27.7,53
2023-01-04 13:00,27,54
2023-01-04 14:00,26.6,54
2023-01-04 15:00,25.9,56
2023-01-04 16:00,25.1,58
2023-01-04 17:00,24.4,61
2023-01-04 18:00,23.8,63
2023-01-04 19:00,23.3,65
2023-01-04 20:00,22.8,66
2023-01-04 21:00,22.4,68
2023-01-04 22:00,22.1,68
2023-01-04 23:00,21.8,69
2023-01-05 0:00,21.5,70
2023-01-05 1:00,22.6,68
2023-01-05 2:00,24.7,60
2023-01-05 3:00,26.1,55
2023-01-05 4:00,27.6,52
2023-01-05 5:00,29,49
2023-01-05 6:00,30,47
2023-01-05 7:00,30.5,48
2023-01-05 8:00,31,46
2023-01-05 9:00,31.2,44
2023-01-05 10:00,30.6,47
2023-01-05 11:00,29.2,51
2023-01-05 12:00,27.9,53
2023-01-05 13:00,27.2,54
2023-01-05 14:00,26.5,55
2023-01-05 15:00,25.7,58
2023-01-05 16:00,25,60
2023-01-05 17:00,24.5,61
2023-01-05 18:00,24,62
2023-01-05 19:00,24.1,61
2023-01-05 20:00,23.8,62
2023-01-05 21:00,23.5,63
2023-01-05 22:00,22.9,65
2023-01-05 23:00,22.5,67
2023-01-06 0:00,22.1,68
2023-01-06 1:00,22.8,68
2023-01-06 2:00,24.1,62
2023-01-06 3:00,25.4,58
2023-01-06 4:00,26.7,54
2023-01-06 5:00,28,51
2023-01-06 6:00,29.4,46
2023-01-06 7:00,28.9,49
2023-01-06 8:00,28.9,49
2023-01-06 9:00,28.7,49
2023-01-06 10:00,28.2,50
2023-01-06 11:00,27.7,51
2023-01-06 12:00,26.8,52
2023-01-06 13:00,26,54
2023-01-06 14:00,25.2,56
2023-01-06 15:00,24.7,57
2023-01-06 16:00,23.9,59
2023-01-06 17:00,23.3,61
2023-01-06 18:00,22.6,62
2023-01-06 19:00,23.1,59
2023-01-06 20:00,23.2,57
2023-01-06 21:00,23.1,55
2023-01-06 22:00,22.9,54
2023-01-06 23:00,22.5,54
2023-01-07 0:00,21.9,56
2023-01-07 1:00,22.5,58
2023-01-07 2:00,23.8,49
2023-01-07 3:00,24.9,46
2023-01-07 4:00,26.1,43
2023-01-07 5:00,27,42
2023-01-07 6:00,27.4,41
2023-01-07 7:00,27.5,43
2023-01-07 8:00,27.8,42
